Id,Severity,Category,VulnerabilitySubType,FilePath,LineNumber,Description,Justification,ExploitabilityLevel,ConfidenceScore,IsTruePositive,IsReachable,InjectionVector,ImpactSummary,RepoRoot,AgentName,RunId,AdoOrganization,AdoProject,AdoRepository,CommitId
ca28a458-8172-4711-a6ec-c186d505c1b8,Critical,AuthenticationBypass,,src/Microsoft.Azure.SignalR.Controller/Startup.cs,80,Global missing authentication/authorization middleware enables unauthenticated access to all controllers,"Startup.cs registers routing/endpoints without UseAuthentication/UseAuthorization and controllers lack [Authorize], allowing unauthenticated requests to reach sensitive actions.",Unreachable,0,true,true,"Unauthenticated HTTP requests to controller routes such as POST /notify/ingress-controller/shutdown, POST /notify/egress-controller/shutdown, GET /status, and GET/POST /v3/discovery:clusters.","Unauthenticated callers can invoke management actions (shutdown/reload), fetch status, and interact with Envoy discovery, potentially causing denial of service or unauthorized configuration disclosure.",D:\Code\OSSServices-SignalR-Service,GeneralVulnerabilitiesAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
1060037d-f404-4675-9e10-507616d8c89b,High,AuthenticationBypass,,src/Microsoft.Azure.SignalR.Controller/Controllers/SpuManagementController.cs,30,Unauthenticated sensitive management endpoint allows arbitrary SPU restarts,"SpuManagementController.RestartAsync is exposed without [Authorize]/auth middleware, enabling anyone to trigger restarts for arbitrary ServiceIds.",Unreachable,0,true,true,Unauthenticated HTTP POST to /api/restart with JSON body SpuResourceRequest { ServiceIds: [...] },"Unauthenticated callers can restart arbitrary managed services by specifying ServiceIds, causing availability impact and potential cascading failures.",D:\Code\OSSServices-SignalR-Service,GeneralVulnerabilitiesAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
95933e26-9dd9-424f-bd7f-ab335088d5be,Medium,InformationDisclosure,Detailed error messages in HTTP response,src/Microsoft.Azure.SignalR/Utilities/ServiceRouteHelper.cs,56,Exception message written directly to HTTP response in negotiate flow,"ServiceRouteHelper catches exceptions and writes ex.Message/e.Message to the HTTP response, leaking internal details to unauthenticated clients.",High,0.6,false,false,,"No observable impact in this repository because the referenced code file and negotiate handler are missing, and existing error handling uses sanitized messages (GetUserFriendlyMessage).",D:\Code\OSSServices-SignalR-Service,GeneralVulnerabilitiesAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
04333bd6-815c-413a-adaf-11bb528544ca,Medium,Other,,src/Microsoft.Azure.SignalR.Controller/Startup.cs,80,HTTPS redirection and HSTS not enforced,"Startup pipeline lacks UseHttpsRedirection and HSTS, exposing management APIs over plaintext and enabling downgrade/MITM risks.",Unreachable,0,true,true,"Plain HTTP request to exposed endpoints (e.g., GET /health) without automatic redirect to HTTPS.",,D:\Code\OSSServices-SignalR-Service,GeneralVulnerabilitiesAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
36bc34d4-d2ba-4dcc-86a3-af2f38ccb103,Critical,AuthenticationBypass,Missing authentication on control-plane endpoints,src/Microsoft.Azure.SignalR.Controller/Controllers/IngressNotifyController.cs,16,Unauthenticated shutdown/reload notify endpoints allow control-plane actions,"IngressNotifyController and EgressNotifyController expose POST /notify/* actions without any auth; requests are broadcast via Hypervisor to service units, enabling shutdown/reload.",High,0.95,true,true,HTTP POST to /notify/ingress-controller/shutdown or /notify/ingress-controller/reload; HTTP POST to /notify/egress-controller/shutdown.,"Unauthenticated attacker can trigger shutdown or reload operations on service process units, causing availability loss and potential state disruption.",D:\Code\OSSServices-SignalR-Service,AuthenticationBypassAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
8a78f5b7-77bd-4297-b826-340be2fc282f,Medium,AuthenticationBypass,Missing auth on discovery endpoint,src/Microsoft.Azure.SignalR.Controller/Controllers/EnvoyCdsController.cs,12,Unauthenticated Envoy CDS discovery endpoint may expose internal cluster topology,"EnvoyCdsController at /v3/discovery:clusters accepts GET/POST without auth; while intended for Envoy, unauthenticated access can enumerate runtime endpoints.",Medium,0.7,true,true,"HTTP GET/POST to /v3/discovery:clusters with body: {""type_url"":""<envoy cluster type>"",""version_info"":""0""}.","Unauthenticated clients can enumerate internal runtime endpoints (hosts and ports), exposing service topology and aiding lateral movement and targeted attacks.",D:\Code\OSSServices-SignalR-Service,AuthenticationBypassAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
43843ff8-b22d-41d4-bda6-55807f504c59,Low,AuthenticationBypass,Weak JWT validation in emulator,src/Microsoft.Azure.SignalR.Emulator/AppBuilderExtensions.cs,49,"Emulator JWT auth disables all validation (issuer, audience, lifetime, signing key) enabling token acceptance without verification","TokenValidationParameters sets ValidateIssuer, ValidateAudience, ValidateLifetime, and ValidateIssuerSigningKey to false, allowing arbitrary tokens (including via access_token query) to be treated as valid.",Medium,0.72,false,false,HttpRequest.Query[access_token] (if emulator is used),"If an emulator build disables all validation and is deployed, tokens could be accepted without verification, enabling authentication bypass. Not applicable to this repository as emulator code not found.",D:\Code\OSSServices-SignalR-Service,AuthenticationBypassAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
fce59373-7187-440b-a4d8-26f9c8dd6180,Critical,AuthenticationBypass,Missing authentication on administrative endpoint,src/Microsoft.Azure.SignalR.Controller/Controllers/SpuManagementController.cs,32,Unauthenticated POST /api/restart in SpuManagementController allows arbitrary service restarts,Controller lacks any authentication/authorization middleware or [Authorize]; endpoint directly calls Hypervisor.ExecuteAsync(Restart) based on user-supplied body.,High,0.95,true,true,HTTP POST /api/restart with JSON body SpuResourceRequest containing ServiceIds.,"Unauthenticated clients can arbitrarily restart managed services by invoking the controller endpoint, causing availability loss and potential cascading failures.",D:\Code\OSSServices-SignalR-Service,AuthenticationBypassAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
de877b4f-2b5b-4101-ba54-c81a007899f3,Medium,AuthenticationBypass,IncompleteLifetimeValidation,src/Microsoft.Azure.SignalR.ServiceRuntime/Authorization/Authenticator.cs,396,Lifetime validation ignores NotBefore (nbf) and accepts tokens not yet valid,"Custom LifetimeValidator returns expires > DateTime.UtcNow and ignores notBefore, allowing future-dated tokens to be accepted before their validity window.",Medium,0.8,true,true,Authorization: Bearer <JWT> header (token processed by JwtBearer middleware),"Allows use of tokens before their intended start time (nbf ignored), undermining issuer's time-based access control and potentially enabling early access or replay in certain scenarios.",D:\Code\OSSServices-SignalR-Service,JwtAuthAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
64c3f64a-5cd8-4505-bc2b-da50397cc5b7,Medium,AuthenticationBypass,WeakSymmetricKeyMaterial,src/Microsoft.Azure.SignalR.ServiceRuntime/WebPubSub/Reconnect/WebPubSubReconnectAuthenticator.cs,71,Reconnection token signing uses raw SigningKeySalt bytes; potential weak key if salt is short/predictable,"SymmetricSecurityKey is derived directly from UTF-8 bytes of SigningKeySalt with KeyId as hash; if salt is low-entropy or predictable, tokens can be forged.",Medium,0.65,true,false,,"Attacker who learns or guesses SigningKeySalt can mint arbitrary reconnection tokens, enabling session hijack or unauthorized reconnections.",D:\Code\OSSServices-SignalR-Service,JwtAuthAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
3be52940-d2eb-448e-8682-d3a9140bdc8d,High,InformationDisclosure,Hardcoded secret (JWT signing key),src/Microsoft.Azure.SignalR.Emulator/AppBuilderExtensions.cs,22,Hardcoded symmetric JWT secret in emulator source code,"AccessKey constant is embedded in code and used to derive ValidKeys; leaked in console output, enabling token forging if emulator is exposed.",High,0.85,false,false,,,D:\Code\OSSServices-SignalR-Service,JwtAuthAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
a1160849-2c95-4702-906a-b89681d34309,Critical,AuthenticationBypass,Disabled JWT validation flags,src/Microsoft.Azure.SignalR.Emulator/AppBuilderExtensions.cs,49,JWT bearer validation disabled in emulator accepts arbitrary tokens,"TokenValidationParameters disables issuer, audience, lifetime, and signing key validation, effectively accepting any token presented via Authorization header or access_token query.",High,0.92,false,false,,No impact within this repository: emulator file not found and JWT validation is configured with strict checks enabled.,D:\Code\OSSServices-SignalR-Service,JwtAuthAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
b7d85a54-a416-4c89-82bd-2c8b39881da8,High,AuthenticationBypass,WeakIssuerValidation,src/Microsoft.Azure.SignalR.ServiceRuntime/Authorization/CustomBearerTokenScheme.cs,90,Issuer validation effectively disabled via custom IssuerValidator,"TokenValidationParameters.ValidateIssuer=true but IssuerValidator returns the issuer without checking allowed tenants/issuers, so any token with a valid signature and audience is accepted regardless of issuer.",Medium,0.9,true,true,HTTP Authorization: Bearer <JWT> header processed by JwtBearerOptions,"Issuer validation bypass enables cross-tenant authentication where only audience and signature are enforced, potentially granting unauthorized access to management or data APIs.",D:\Code\OSSServices-SignalR-Service,JwtAuthAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
1f9f2f54-ce19-4341-8261-ef3b2c563d93,Low,Other,CustomTokenReaderRisk,src/Microsoft.Azure.SignalR.ServiceRuntime/Authorization/PreserveOriginalClaimsValidater.cs,18,Custom TokenReader overrides JwtSecurityToken decoding; risk of accepting malformed tokens if future changes bypass signature validation,"TokenValidationParameters.TokenReader is overridden to a custom ReadToken that returns a compatible token object; while signature is still validated later, custom decoding increases complexity and risk of parser inconsistencies.",Low,0.4,false,false,,No present impact: tokens still require signature and claim validation before use. Parser customization preserves original claims but does not enable acceptance of invalid tokens.,D:\Code\OSSServices-SignalR-Service,JwtAuthAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
3b7d66b8-132a-480c-8814-900c9570edef,High,AuthenticationBypass,Multi-tenantIssuerNotRestricted,src/Microsoft.Azure.SignalR.ServiceRuntime/Authorization/MicrosoftEntraPublicKeyResolver.cs,60,Accepting Microsoft Entra public keys implies accepting any tenant without validating tenant ID,"Signing keys are loaded from the common OpenID configuration and AzureIdentityFromMicrosoftEntraToken parses 'tid', but no tenant allowlist is enforced; any tenant with valid AAD-signed token and allowed audience passes.",High,0.75,true,true,HTTP Authorization header: Bearer <AAD JWT>,"Accepting Microsoft Entra public keys from 'common' without restricting issuer/tenant enables cross-tenant authentication. Attackers from unrelated tenants can gain authenticated context if they can obtain a token for the accepted audience, potentially reaching internal RBAC checks and escalating depending on configuration.",D:\Code\OSSServices-SignalR-Service,JwtAuthAgent,6bde1e53-a270-4f00-ba52-c3c4356d25fe,msazure,,,fa0b5dfaf53f9b0f6f8fd91e36ade18ed7ccd65a
